id,median_income,median_home_value,county,city,metro_area,state,tract_count,total_population,total_population_25_over,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,total_population_25_under,proportion_25_under
11001,82936.3,531094.86,District of Columbia,Washington,Washington-Arlington-Alexandria,District of Columbia,88,672391,477843,270423,241901,315159,1757,25063,241,2194,14864,71829,194548,0.28933760267463426
13013,56525.17,137083.33,Barrow County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,75099,48812,8421,54809,8320,191,2679,0,158,1553,7524,26287,0.35003129202785654
13015,53285.93,136033.33,Bartow County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,102623,68263,13228,80298,10773,319,962,2,313,1695,8379,34360,0.3348177309180203
13035,43214.0,122100.0,Butts County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,23556,16454,1732,15685,6644,17,140,0,127,218,725,7102,0.30149431142808625
13045,46868.94,119547.06,Carroll County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,114898,71749,14068,81705,21436,474,901,108,727,2040,7678,43149,0.3755417848874654
13057,74959.27,215573.08,Cherokee County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,235896,156284,55763,188379,14515,707,4416,0,578,4175,23664,79612,0.3374877064469088
13063,44189.78,86921.28,Clayton County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,274150,168512,32153,30835,185643,681,14463,21,1063,5310,36168,105638,0.38532919934342513
13067,79262.67,229999.16,Cobb County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,739072,490883,223352,392231,194071,1656,37635,305,2417,17044,94405,248189,0.3358116665223415
13077,70573.05,192695.0,Coweta County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,138015,91386,26536,98747,23981,185,2514,17,361,2934,9328,46629,0.3378545810238018
13085,64526.33,213200.0,Dawson County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,23397,16644,5173,21707,276,18,64,0,31,313,988,6753,0.28862674701884855
13089,63848.2,223653.19,DeKalb County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,736066,497255,209542,213843,392421,4891,44468,240,3096,16490,63842,238811,0.3244423733741268
13097,60404.75,140995.0,Douglas County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,140152,90072,24036,60795,61725,166,2308,15,166,2107,12906,50080,0.35732633141161024
13113,89850.0,262230.0,Fayette County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,110306,74267,34680,70754,23263,340,4871,88,501,2739,7806,36039,0.326718401537541
13117,96998.84,294268.89,Forsyth County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,211300,136116,68279,158260,6056,495,22255,41,213,4029,20064,75184,0.3558163748225272
13121,66844.26,268571.28,Fulton County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,1010420,674996,338740,403350,440568,3756,67267,263,3547,19260,74574,335424,0.3319649254765345
13135,66392.27,185101.79,Gwinnett County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,889954,562979,198820,349434,230815,2972,99659,329,4246,19491,184621,326975,0.3674066300055958
13143,44363.2,115680.0,Haralson County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,28722,19468,2748,26195,1237,67,221,0,81,501,420,9254,0.3221920479075273
13149,42118.0,102600.0,Heard County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,11607,7914,851,9862,1162,5,61,10,0,432,78,3693,0.3181700697854743
13151,65833.12,149740.0,Henry County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,217506,138840,38821,101652,88487,137,7143,0,569,5439,14079,78666,0.36167278144051196
13159,43597.0,114766.67,Jasper County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,13732,9416,989,10110,2858,26,41,0,0,164,533,4316,0.314302359452374
13171,39958.0,126100.0,Lamar County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,18282,11670,2147,11887,5293,16,138,0,0,533,415,6612,0.3616672136527732
13199,36040.5,91425.0,Meriwether County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,21152,14731,1570,11912,8116,36,133,0,90,423,442,6421,0.3035646747352496
13211,61027.0,209160.0,Morgan County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,18013,12387,2733,12903,4238,24,11,0,15,257,565,5626,0.3123299839005163
13217,54742.23,125653.85,Newton County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,105042,66904,13303,51168,44742,316,1041,124,229,2179,5389,38138,0.3630738180918109
13223,65352.42,150789.47,Paulding County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,152399,97288,23711,111299,27271,289,1436,52,265,2934,8866,55111,0.3616231077631743
13227,62470.83,194333.33,Pickens County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,30343,22087,5492,28416,148,22,164,10,0,667,923,8256,0.27208911445802986
13231,54063.5,151975.0,Pike County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,17919,12147,2001,15536,1841,0,31,0,0,238,273,5772,0.32211618951950444
13247,55295.6,138953.33,Rockdale County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,88482,57669,14860,30593,45162,105,1748,220,134,1501,9030,30813,0.348240320065098
13255,41966.0,100750.0,Spalding County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,64192,43193,6998,38112,21402,259,602,19,57,950,2791,20999,0.32712799102691925
13297,57606.93,163020.0,Walton County,Atlanta,Atlanta-Sandy Springs-Alpharetta,Georgia,88,88695,58380,11074,67361,14619,188,1090,64,631,1185,3557,30315,0.3417892778623372
24003,97355.12,371465.31,Anne Arundel County,Baltimore,Baltimore-Columbia-Towson,Maryland,88,564600,387306,155397,393139,89635,1025,20460,395,1223,17675,41275,177294,0.3140170031880978
24005,77833.71,266238.76,Baltimore County,Baltimore,Baltimore-Columbia-Towson,Maryland,88,828637,573263,216793,486692,228044,2320,48863,343,1928,18522,42438,255374,0.30818561082838447
24009,104225.89,352772.22,Calvert County,Washington,Washington-Arlington-Alexandria,Maryland,88,90824,61269,18430,71582,10591,150,1413,34,69,3715,3276,29555,0.32540958337003434
24013,92337.32,326339.47,Carroll County,Baltimore,Baltimore-Columbia-Towson,Maryland,88,167319,115213,39861,150297,5455,348,2762,25,228,2849,5368,52106,0.31141711341808165
24017,92003.47,288200.0,Charles County,Washington,Washington-Arlington-Alexandria,Maryland,88,156021,103318,29444,67280,66761,894,4865,163,299,7417,8358,52703,0.3377942712839938
24021,92370.48,315636.07,Frederick County,Washington,Washington-Arlington-Alexandria,Maryland,88,246105,166221,67242,184203,21635,618,11144,174,681,6140,21623,79884,0.32459316145547634
24025,86890.86,284707.14,Harford County,Baltimore,Baltimore-Columbia-Towson,Maryland,88,250132,172031,60475,192509,32691,444,6524,0,701,6682,10608,78101,0.3122391377352758
24027,125309.8,448943.64,Howard County,Baltimore,Baltimore-Columbia-Towson,Maryland,88,312495,210338,128773,169069,56630,592,54179,41,1159,10518,20343,102157,0.3269076305220884
24031,116973.49,513826.76,Montgomery County,Washington,Washington-Arlington-Alexandria,Maryland,88,1039198,713454,416188,467734,182541,3091,152515,458,4969,32345,197242,325744,0.3134571082700313
24033,80966.89,263142.99,Prince George's County,Washington,Washington-Arlington-Alexandria,Maryland,88,905161,607229,193476,120200,564173,3266,38501,280,3096,19428,157427,297932,0.3291480742100024
24035,88272.73,333236.36,Queen Anne's County,Baltimore,Baltimore-Columbia-Towson,Maryland,88,49071,34452,12157,42489,3427,38,268,0,133,936,1805,14619,0.29791526563550774
24510,49560.08,163568.21,Baltimore city,Baltimore,Baltimore-Columbia-Towson,Maryland,88,619796,425235,129363,170916,385831,1886,15816,265,2124,12714,30729,194561,0.31391135147693755
34003,100670.17,482294.98,Bergen County,New York City,New York-Newark-Jersey City,New Jersey,88,937920,659670,315920,542226,49842,1627,151869,235,2125,13695,176933,278250,0.29666709314227224
34013,67062.06,317054.9,Essex County,New York City,New York-Newark-Jersey City,New Jersey,88,800401,534516,181918,249087,310404,2035,40966,165,7414,11574,179661,265885,0.3321897398928787
34017,68442.78,374767.9,Hudson County,New York City,New York-Newark-Jersey City,New Jersey,88,679756,481845,189467,195557,73309,2132,102008,420,3434,10678,293465,197911,0.2911500597273139
34019,111517.69,387042.31,Hunterdon County,New York City,New York-Newark-Jersey City,New Jersey,88,125717,88545,44921,108455,3135,70,4819,17,39,1385,7801,37172,0.2956799796368033
34023,87697.93,330852.3,Middlesex County,New York City,New York-Newark-Jersey City,New Jersey,88,837288,572917,240684,371039,77992,1582,200508,228,2417,13377,170601,264371,0.315746792023772
34025,94813.09,429557.45,Monmouth County,New York City,New York-Newark-Jersey City,New Jersey,88,627551,436169,191894,473037,42037,967,34053,199,1533,9748,66481,191382,0.3049664489419983
34027,115410.56,476075.0,Morris County,New York City,New York-Newark-Jersey City,New Jersey,88,498847,347344,182679,359215,15142,592,50277,34,729,8337,64875,151503,0.3037063468358034
34029,70712.12,314974.8,Ocean County,New York City,New York-Newark-Jersey City,New Jersey,88,589699,406087,115279,500671,16278,310,11488,154,491,7136,53261,183612,0.3113656289055942
34031,64874.37,303315.62,Passaic County,New York City,New York-Newark-Jersey City,New Jersey,88,510563,336045,90767,214683,54255,2085,26714,107,1493,5535,206937,174518,0.34181482011034875
34035,113673.53,437564.71,Somerset County,New York City,New York-Newark-Jersey City,New Jersey,88,333316,230407,122387,192408,30152,764,56772,16,512,5161,47897,102909,0.3087430546388412
34037,90015.51,265700.0,Sussex County,New York City,New York-Newark-Jersey City,New Jersey,88,143570,101164,34751,125183,2829,38,2814,6,97,1851,10778,42406,0.2953681131155534
34039,81203.01,349021.3,Union County,New York City,New York-Newark-Jersey City,New Jersey,88,557320,377040,128449,226675,111889,1509,27503,46,11682,7926,171189,180280,0.32347663819708605
36005,41688.32,383802.28,Bronx County,New York City,New York-Newark-Jersey City,New York,88,1455846,927374,179549,137674,427414,9658,52360,507,8949,14776,810549,528472,0.3629999326851879
36027,77797.09,273656.58,Dutchess County,New York City,New York-Newark-Jersey City,New York,88,295685,204168,70642,213506,28360,1112,10989,68,1066,6607,34662,91517,0.3095084295787747
36047,59774.86,682302.41,Kings County,New York City,New York-Newark-Jersey City,New York,88,2635121,1789355,629290,947519,805388,8735,311901,669,10980,46395,508365,845766,0.32095907550355374
36059,112968.6,532068.48,Nassau County,New York City,New York-Newark-Jersey City,New York,88,1363069,942504,418103,836384,150103,3334,122957,204,6769,20908,224195,420565,0.3085427076692376
36061,91715.7,954900.94,New York County,New York City,New York-Newark-Jersey City,New York,88,1653877,1259137,764149,773377,206945,6035,196447,637,6732,36461,431249,394740,0.2386755484234922
36071,75696.96,261539.24,Orange County,New York City,New York-Newark-Jersey City,New York,88,378174,240447,70986,247267,36590,1247,9728,135,1687,7317,74643,137727,0.3641895000713957
36079,102620.79,369394.74,Putnam County,New York City,New York-Newark-Jersey City,New York,88,99464,70373,27126,79747,2204,257,2201,23,134,1389,13684,29091,0.29247768036676586
36081,66931.36,519473.31,Queens County,New York City,New York-Newark-Jersey City,New York,88,2339280,1665576,513306,593073,401543,8756,587891,870,46396,49883,654793,673704,0.28799630655586334
36085,75298.24,458287.62,Richmond County,New York City,New York-Newark-Jersey City,New York,88,475948,328506,105485,295516,44600,1303,39805,136,1230,7442,86540,147442,0.3097859430021767
36087,90228.8,425127.69,Rockland County,New York City,New York-Newark-Jersey City,New York,88,325027,204647,82754,205500,37408,608,19570,20,1146,4662,56251,120380,0.37036923086389745
36103,98145.18,424128.88,Suffolk County,New York City,New York-Newark-Jersey City,New York,88,1497595,1030141,360196,1025705,108361,3743,57325,329,5416,19385,278954,467454,0.31213645878892493
36119,102938.25,529439.08,Westchester County,New York City,New York-Newark-Jersey City,New York,88,975321,668102,318873,530156,131769,4098,57004,137,4228,16519,234081,307219,0.31499270496585224
42103,61534.06,201938.89,Pike County,New York City,New York-Newark-Jersey City,Pennsylvania,88,55687,40380,10711,45178,3158,69,674,8,167,681,5757,15307,0.27487564422576183
51013,121674.48,614641.82,Arlington County,Washington,Washington-Arlington-Alexandria,Virginia,88,229534,171870,127413,142962,19591,1013,23496,186,824,6155,35687,57664,0.2512220411790846
51043,76480.67,338666.67,Clarke County,Washington,Washington-Arlington-Alexandria,Virginia,88,14331,10243,3226,12453,703,51,137,0,0,302,685,4088,0.2852557393063987
51047,69581.88,254800.0,Culpeper County,Washington,Washington-Arlington-Alexandria,Virginia,88,49795,33245,7794,35424,6774,227,688,5,147,1765,4826,16550,0.33236268701676874
51061,96468.94,378476.47,Fauquier County,Washington,Washington-Arlington-Alexandria,Virginia,88,68406,46770,16512,55319,5113,196,939,14,50,1645,5141,21636,0.3162880449083414
51107,129669.7,473545.31,Loudoun County,Washington,Washington-Arlington-Alexandria,Virginia,88,374558,239466,143206,216051,26940,977,63934,259,2158,13963,50426,135092,0.3606704435628127
51113,53781.5,255350.0,Madison County,Washington,Washington-Arlington-Alexandria,Virginia,88,13108,9346,2514,11147,880,0,159,0,5,602,315,3762,0.2870003051571559
51157,61055.0,333150.0,Rappahannock County,Washington,Washington-Arlington-Alexandria,Virginia,88,7359,5530,1860,6566,280,12,88,0,0,152,261,1829,0.24853920369615437
51179,101958.44,328677.78,Stafford County,Washington,Washington-Arlington-Alexandria,Virginia,88,141159,89555,34631,89967,23125,382,4321,112,325,6434,16515,51604,0.36557357306299987
51187,68121.0,225800.0,Warren County,Washington,Washington-Arlington-Alexandria,Virginia,88,38991,26801,5592,34156,1407,101,464,0,0,1280,1622,12190,0.3126362493908851
51510,110522.11,547285.71,Alexandria city,Washington,Washington-Arlington-Alexandria,Virginia,88,154710,117664,72756,80143,33557,322,9420,34,371,5185,25900,37046,0.2394544631891927
54037,71741.13,220813.33,Jefferson County,Washington,Washington-Arlington-Alexandria,West Virginia,88,55673,38100,11635,46666,3630,108,830,0,311,1156,2972,17573,0.3156467228279417
60014,91795.24,634740.12,Alameda County,Oakland,San Francisco-Oakland-Berkeley,California,88,1628918,1138511,508818,524494,175012,10140,468182,13000,4489,71759,366979,490407,0.3010630369361748
60019,130381.0,488550.0,Alameda County,Oakland,San Francisco-Oakland-Berkeley,California,88,697,638,476,387,51,12,174,0,0,18,62,59,0.08464849354375897
60133,98316.87,561530.92,Contra Costa County,Oakland,San Francisco-Oakland-Berkeley,California,88,1123678,767132,312505,504818,93140,5410,177544,5195,3734,52576,284003,356546,0.31730264363990396
60139,,,Contra Costa County,Oakland,San Francisco-Oakland-Berkeley,California,88,0,0,0,0,0,0,0,0,0,0,0,0,
60411,111398.7,1004557.46,Marin County,Oakland,San Francisco-Oakland-Berkeley,California,88,260814,191055,109876,186382,5463,689,14754,301,2663,9469,41391,69759,0.26746647035818627
60419,,,Marin County,Oakland,San Francisco-Oakland-Berkeley,California,88,0,0,0,0,0,0,0,0,0,0,0,0,
60750,98762.76,1015160.36,San Francisco County,Oakland,San Francisco-Oakland-Berkeley,California,88,862338,681575,380550,352556,43532,3306,292113,2807,4369,33881,131645,180763,0.20961966189591552
60759,93861.4,842200.0,San Francisco County,Oakland,San Francisco-Oakland-Berkeley,California,88,1925,1499,516,444,429,0,581,118,0,49,304,426,0.2212987012987013
60816,119591.27,1006450.06,San Mateo County,Oakland,San Francisco-Oakland-Berkeley,California,88,763450,544336,264198,304751,17457,2611,207572,10554,2650,29436,190045,219114,0.2870050428973738
60819,,,San Mateo County,Oakland,San Francisco-Oakland-Berkeley,California,88,0,0,0,0,0,0,0,0,0,0,0,0,
